NAME,LAT,LON,ADDRESS,ZIP,OPEN_HRS_WK,VIS_FLAG,VIS_01,VIS_02,VIS_03,VIS_04,VIS_05,VIS_06,VIS_07,VIS_08,VIS_09,VIS_10,VIS_11,VIS_12,VIS_TOTAL,CIRC_01,CIRC_02,CIRC_03,CIRC_04,CIRC_05,CIRC_06,CIRC_07,CIRC_08,CIRC_09,CIRC_10,CIRC_11,CIRC_12,CIRC_TOTAL,HP_01,HP_02,HP_03,HP_04,HP_05,HP_06,HP_07,HP_08,HP_09,HP_10,HP_11,HP_12,HP_TOTAL,HF_01,HF_02,HF_03,HF_04,HF_05,HF_06,HF_07,HF_08,HF_09,HF_10,HF_11,HF_12,HF_TOTAL,CS_01,CS_02,CS_03,CS_04,CS_05,CS_06,CS_07,CS_08,CS_09,CS_10,CS_11,CS_12,CS_TOTAL
Albany Park,41.975456,-87.71409,3401 W. Foster Avenue,60625,48,NO,12801,12073,14371,12340,12320,13892,13971,14093,12987,14277,12418,12433,157976,11031,9447,11386,9983,9552,10396,10718,11123,9618,9742,10043,8495,121534,124,125,127,104,126,157,130,128,129,125,141,151,1567,3887,3590,3948,1204,3986,4027,3851,4205,3852,4256,3974,3524,44415,2794,2277,2819,2681,2484,2645,2770,2890,2635,2394,2275,1981,30645
Altgeld,41.6547302184,-87.602230261,13281 S. Corliss Avenue,60827,48,NO,3069,2864,3362,2992,3112,3137,4000,3900,3066,2907,2931,3088,38428,316,230,331,404,249,294,583,568,419,355,268,280,4297,16,16,13,3,2,5,3,1,4,8,3,5,79,170,208,243,112,280,313,205,258,252,239,285,211,2743,1231,857,765,828,904,1050,1405,1326,1145,890,820,877,12098
Archer Heights,41.8012136599,-87.7264907143,5055 S. Archer Avenue,60632,48,YES,7778,7227,8432,7499,7858,7963,8294,8672,7358,8344,7099,6371,92895,5857,5378,6800,5802,5729,5220,6075,5780,5290,5802,5200,5264,68197,147,92,121,75,89,77,138,135,114,113,88,73,1262,1691,1345,1922,517,1614,1640,1645,1863,1571,1746,1546,1477,18505,1835,1706,1836,1743,1801,1694,1734,1888,1722,1846,1534,1378,20717
Austin,41.8892721535,-87.7657118672,5615 W. Race Avenue,60644,48,NO,5395,5271,5899,5828,5611,6488,8187,8904,4921,0,0,0,56504,1217,1253,1492,1307,1192,1367,1622,1455,1061,0,49,0,12015,117,141,123,72,116,46,43,32,18,0,0,0,708,810,645,799,251,651,817,736,808,644,0,0,2,6150,1268,1066,1099,987,1112,1199,1326,1560,861,0,0,0,10478
Austin-Irving,41.9531739006,-87.7793868207,6100 W. Irving Park Road,60634,48,NO,7998,8105,9273,8379,4855,8911,9388,13358,9154,8835,8221,7254,103731,9530,8547,9921,9041,6817,9724,10551,10187,9265,9669,9117,7866,110235,208,185,206,169,120,219,212,263,241,304,278,215,2620,3596,2870,3705,1007,3216,3473,3581,3931,3540,3452,3392,3143,38998,1664,1559,1701,1628,1201,1509,1489,1724,1581,1411,1439,1267,18173
Avalon,41.7467172216,-87.5853965872,8148 S. Stony Island Avenue ,60617,48,YES,10435,11306,12521,12312,13098,13023,13026,14101,13630,12337,12115,8042,145946,3814,3988,3780,3993,3461,3586,3413,3893,4040,4869,3969,3175,45981,180,164,176,77,65,102,146,109,128,136,93,93,1469,1414,1268,1431,488,1199,1355,1238,1371,1329,1431,1339,1252,15036,4203,4346,4699,4553,4877,4297,4291,4786,4961,5167,4615,3233,54028
Back of the Yards,41.8083844237,-87.6775696387,2111 W. 47th Street,60609,48,NO,4407,3895,4497,4351,4656,5421,8023,6570,4662,5224,4652,3860,60218,2790,2642,2937,2739,2334,2698,2652,2741,2418,2891,2551,1731,31124,33,72,82,85,52,55,63,37,68,40,26,12,625,1125,856,1216,466,1011,1001,1090,1099,1087,1047,1084,983,11954,1839,1592,1895,1795,1501,1844,2318,2642,1753,1787,1538,1231,21735
Beverly,41.7211805055,-87.6719464614,1962 W. 95th Street,60643,48,YES,11290,10481,12486,13070,12814,13065,13366,13806,12668,14106,12294,8762,148208,6251,5158,6304,5603,6020,6668,6994,6856,6068,6313,5950,4584,72769,164,102,130,80,81,109,85,148,123,153,98,85,1358,2594,2164,2717,784,2587,2724,2711,2962,2803,2884,2803,2305,29949,4006,3473,4000,4189,3924,3860,4120,4318,3857,4003,3581,2423,45754
Bezazian,41.971681948,-87.6607302722,1226 W. Ainslie Street,60640,48,NO,9782,8815,10362,9749,10247,11047,11737,13181,10518,10172,9110,8858,123578,8300,7707,9213,8705,9262,9401,9363,9105,7876,7964,8288,7648,102832,217,233,215,166,154,200,223,186,202,187,219,191,2393,4323,3617,4917,1373,4126,4272,4511,4416,4302,4249,4090,3996,48323,2417,2270,2324,2431,2469,2572,2766,3200,2552,2332,2248,1987,29568
Blackstone,41.8058403099,-87.5893418221,4904 S. Lake Park Avenue,60615,48,NO,8110,7874,8799,8712,8466,9643,10489,10889,4971,6237,7932,7340,99462,8430,7960,8677,8478,9354,9426,9987,9287,2679,7239,7755,7506,96778,151,191,162,113,84,118,99,81,9,88,74,87,1257,4207,3311,4208,1539,4158,4331,4368,4801,1051,4667,4052,3861,44364,1773,1701,1892,1705,1881,2091,1973,2193,525,1189,1477,1459,19859
